Designator,Mid X,Mid Y,Rotation,Layer
C1,35.179,-34.163,90,bottom
C10,36.634575,-36.576,90,bottom
C2,24.222075,-25.4,0,bottom
C3,24.6877,-28.6125,270,bottom
C4,23.504575,-30.943689,0,bottom
C5,23.504575,-32.07506,0,bottom
C6,31.484575,-30.209375,0,bottom
C7,35.687,-36.576,90,bottom
C8,26.124575,-41.819375,180,bottom
C9,26.124575,-42.919375,180,bottom
CRGB1,28.3464,-17.8816,270,bottom
CRGB10,179.959,-80.137,90,bottom
CRGB11,141.605,-80.01,90,bottom
CRGB12,100.584,-77.244,270,bottom
CRGB13,62.357,-77.343,270,bottom
CRGB14,19.304,-77.343,270,bottom
CRGB2,70.7644,-17.7292,270,bottom
CRGB3,108.966,-17.907,270,bottom
CRGB4,146.939,-17.907,270,bottom
CRGB5,185.166,-17.879,270,bottom
CRGB6,223.393,-17.907,270,bottom
CRGB7,265.938,-17.907,270,bottom
CRGB8,257.937,-77.47,270,bottom
CRGB9,214.884,-77.343,270,bottom
D1,6.096,-14.478,90,bottom
D10,194,-13.525,90,bottom
D11,213.05,-13.525,90,bottom
D12,232.1,-13.525,90,bottom
D13,251.15,-13.525,90,bottom
D14,274.9625,-13.525,90,bottom
D15,17.7875,-32.575,90,bottom
D16,48.006,-24.257,270,bottom
D17,65.278,-25.527,90,bottom
D18,79.7,-32.575,90,bottom
D19,98.75,-32.575,90,bottom
D2,32.385,-14.097,90,bottom
D20,117.8,-32.575,90,bottom
D21,136.85,-32.575,90,bottom
D22,155.9,-32.575,90,bottom
D23,174.95,-32.575,90,bottom
D24,194,-32.575,90,bottom
D25,213.05,-32.575,90,bottom
D26,232.1,-32.575,90,bottom
D27,251.15,-32.575,90,bottom
D28,274.9625,-32.575,90,bottom
D29,19.431,-52.324,90,bottom
D3,60.65,-13.525,90,bottom
D30,45.72,-41.021,270,bottom
D31,60.65,-51.625,90,bottom
D32,79.7,-51.625,90,bottom
D33,98.75,-51.625,90,bottom
D34,122.682,-49.53,90,bottom
D35,141.605,-49.53,90,bottom
D36,160.655,-49.53,90,bottom
D37,179.451,-49.53,90,bottom
D38,198.628,-49.403,90,bottom
D39,217.678,-49.403,90,bottom
D4,79.7,-13.525,90,bottom
D40,236.728,-49.403,90,bottom
D41,255.905,-49.403,90,bottom
D42,274.9625,-51.625,90,bottom
D43,17.7875,-70.675,90,bottom
D44,41.6,-70.675,90,bottom
D45,60.65,-70.675,90,bottom
D46,79.7,-70.675,90,bottom
D47,98.75,-70.675,90,bottom
D48,117.8,-70.675,90,bottom
D49,136.85,-70.675,90,bottom
D5,98.75,-13.525,90,bottom
D50,155.9,-70.675,90,bottom
D51,174.95,-70.675,90,bottom
D52,194,-70.675,90,bottom
D53,213.05,-70.675,90,bottom
D54,232.1,-70.675,90,bottom
D55,251.15,-70.675,90,bottom
D56,274.9625,-70.675,90,bottom
D57,17.7875,-89.725,90,bottom
D58,41.6,-89.725,90,bottom
D59,47.752,-89.789,90,bottom
D6,117.8,-13.525,90,bottom
D60,79.7,-89.725,90,bottom
D61,104.394,-88.138,90,bottom
D62,117.8,-89.725,90,bottom
D63,145.796,-89.789,90,bottom
D64,178.435,-89.662,90,bottom
D65,194.945,-89.662,90,bottom
D66,213.05,-89.725,90,bottom
D67,238.125,-89.662,90,bottom
D68,251.15,-89.725,90,bottom
D69,263.271,-89.662,90,bottom
D7,136.85,-13.525,90,bottom
D8,155.9,-13.525,90,bottom
D9,174.95,-13.525,90,bottom
F1,28.829,-11.4,270,bottom
FB1,25.8,-1.8,0,bottom
R1,47.984575,-29.959375,0,bottom
R2,10.8,-4.8,180,bottom
R3,25.654,-5.842,180,bottom
R4,25.654,-45.72,90,bottom
RGB1,23.876,-19.05,0,bottom
RGB10,180.975,-76.2,180,bottom
RGB11,142.875,-76.2,180,bottom
RGB12,104.775,-76.2,180,bottom
RGB13,66.675,-76.073,180,bottom
RGB14,23.749,-76.2,180,bottom
RGB2,66.6496,-18.9992,0,bottom
RGB3,104.8512,-19.05,0,bottom
RGB4,142.875,-19.05,0,bottom
RGB5,180.975,-19.05,0,bottom
RGB6,219.075,-19.05,0,bottom
RGB7,261.874,-19.05,0,bottom
RGB8,262.001,-76.2,180,bottom
RGB9,219.075,-76.2,180,bottom
SW1,43.434575,-33.859375,0,bottom
SW2,52.484575,-33.859375,180,bottom
U1,28.984575,-36.009375,270,bottom
U2,27.0002,-26.9875,270,bottom
U3,24,-11.6,180,bottom
